epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,4440.52,1.06015,0.7978,1.17485,0.69611,0.73738,0.74206,0.43985,1.73552,1.06163,1.82265,0.005248,0.005248,0.005248
98,4497.3,1.06325,0.79832,1.17602,0.71902,0.69402,0.72876,0.44587,1.66126,1.05592,1.7019,0.0051985,0.0051985,0.0051985
99,4544.79,1.05315,0.78343,1.16857,0.77839,0.64715,0.74644,0.44772,1.72692,1.10365,1.80409,0.005149,0.005149,0.005149
100,4586.78,1.05665,0.79037,1.17436,0.67937,0.74802,0.74042,0.45014,1.79503,1.04511,1.8466,0.0050995,0.0050995,0.0050995
101,4642.34,1.05368,0.79397,1.18331,0.70934,0.67082,0.73906,0.43555,1.75955,1.10213,1.79173,0.00505,0.00505,0.00505
102,4679.82,1.03995,0.78739,1.16705,0.70597,0.73573,0.7518,0.44604,1.65296,1.07427,1.70877,0.0050005,0.0050005,0.0050005
103,4733.44,1.05292,0.78659,1.17273,0.82715,0.6489,0.74122,0.46519,1.53011,0.99729,1.58113,0.004951,0.004951,0.004951
104,4789.97,1.03394,0.7852,1.16524,0.80377,0.71405,0.78343,0.4718,1.59932,0.98186,1.66738,0.0049015,0.0049015,0.0049015
105,4831.96,1.029,0.75917,1.15818,0.74316,0.69997,0.75437,0.44729,1.66402,1.05597,1.71837,0.004852,0.004852,0.004852
106,4869.36,1.04517,0.77448,1.1664,0.70928,0.74987,0.74752,0.44487,1.68086,1.07408,1.73101,0.0048025,0.0048025,0.0048025
107,4911.38,1.03359,0.75911,1.16444,0.69197,0.69654,0.73094,0.44272,1.60347,1.0764,1.6814,0.004753,0.004753,0.004753
108,4953.31,1.03018,0.76652,1.16034,0.78392,0.65796,0.72332,0.44705,1.56623,1.10689,1.63889,0.0047035,0.0047035,0.0047035
109,5008.34,1.02036,0.74808,1.15565,0.71432,0.71677,0.75082,0.45112,1.65538,1.06315,1.74405,0.004654,0.004654,0.004654
110,5051.28,1.00909,0.75203,1.14844,0.71728,0.741,0.74566,0.4462,1.64564,1.04922,1.70068,0.0046045,0.0046045,0.0046045
111,5088.68,1.0057,0.73596,1.15111,0.71995,0.74987,0.71763,0.42639,1.70711,1.07679,1.77021,0.004555,0.004555,0.004555
112,5142.44,1.01348,0.75555,1.14821,0.63653,0.71819,0.71758,0.45089,1.67689,1.06781,1.80507,0.0045055,0.0045055,0.0045055
113,5198.11,1.00758,0.72749,1.14496,0.59291,0.75396,0.71943,0.45117,1.64415,1.01866,1.72134,0.004456,0.004456,0.004456
114,5240.01,0.98884,0.72413,1.1412,0.70228,0.69781,0.73717,0.42917,1.69173,1.10083,1.80256,0.0044065,0.0044065,0.0044065
115,5294.86,0.99903,0.73324,1.13752,0.64646,0.75555,0.71704,0.42723,1.73837,1.12404,1.86224,0.004357,0.004357,0.004357
116,5350.11,1.0074,0.73634,1.1538,0.73032,0.66466,0.71436,0.43955,1.67717,1.06351,1.7602,0.0043075,0.0043075,0.0043075
117,5396.67,0.9963,0.71699,1.13577,0.71871,0.64755,0.7208,0.43894,1.70799,1.13885,1.81041,0.004258,0.004258,0.004258
